ext_int,sen_int,think_feel,judg_per,mbti_type
9,50,68,53,INTP
60,43,56,21,ENTP
44,98,13,14,ISFP
36,11,8,60,INFJ
34,69,36,50,ISFP
1,12,93,48,INTP
10,78,54,5,ISFP
96,59,77,74,ESTJ
74,6,46,30,ENFP
71,68,88,83,ESTJ
1,20,49,93,INFJ
90,83,91,32,ESTP
44,43,1,8,INFP
8,92,89,3,ISTP
69,87,84,65,ESTJ
56,56,61,80,ESTJ
41,68,39,43,ISFP
78,3,47,44,ENFP
49,83,11,11,ISFP
63,62,59,7,ESTP
17,64,70,13,ISTP
55,16,74,64,ENTJ
75,81,17,61,ESFJ
85,1,4,5,ENFP
86,52,71,64,ENTJ
37,9,11,80,INFJ
73,82,47,74,ESFJ
87,88,8,45,ESFP
12,36,21,16,INFP
86,95,19,92,ESFJ
21,94,8,78,ISFJ
52,24,84,88,INTJ
8,50,26,39,INFP
14,66,8,37,ISFP
58,92,68,37,ESTP
31,80,61,24,ISTP
66,8,37,97,ENFJ
1,0,12,37,INFP
95,42,8,92,ENFJ
24,96,83,62,ISTJ
89,78,97,48,ESTP
24,7,50,97,INFJ
1,20,25,25,INFP
66,78,9,51,ESFP
90,68,68,10,ESTP
16,25,18,58,INFJ
2,94,83,56,ISTJ
71,9,12,26,ENFP
98,96,83,76,ESTJ
92,83,8,66,ESFJ
54,73,1,72,ISFJ
57,29,6,91,ENFJ
0,70,95,81,ISTJ
57,64,37,43,ESFP
25,90,54,83,ISFJ
14,29,21,66,INFJ
23,75,84,9,ISTP
92,37,53,16,ENFP
87,71,87,60,ESTJ
59,99,67,87,ESTJ
48,48,64,78,INTJ
54,5,10,30,INFP
57,93,19,46,ESFP
9,86,1,59,ISFJ
98,94,64,38,ESTP
81,94,84,72,ESTJ
33,6,30,82,INFJ
12,65,15,14,ISFP
52,21,54,54,INFP
75,3,3,53,ENFP
54,95,67,19,ISTP
86,62,11,90,ESFJ
91,38,81,38,ENTP
41,7,1,52,INFP
43,45,27,22,INFP
72,54,9,10,ENFP
32,50,5,16,INFP
38,45,9,45,INFP
63,40,3,17,ENFP
83,21,50,95,ENFJ
12,57,6,21,ISFP
34,80,91,2,ISTP
42,83,8,17,ISFP
12,18,34,99,INFJ
63,36,9,35,ENFP
40,70,7,7,ISFP
92,39,81,2,ENTP
45,73,38,4,ISFP
2,49,92,91,INTJ
24,32,11,75,INFJ
69,30,81,41,ENTP
75,17,53,58,ENFJ
26,69,42,96,ISFJ
4,46,60,97,INTJ
67,74,40,89,ESFJ
10,90,93,66,ISTJ
49,56,71,15,ISTP
44,1,8,96,INFJ
8,57,23,79,ISFJ
96,81,11,4,ESFP
12,57,80,25,ISTP
85,64,45,1,ESFP
47,29,70,17,INTP
91,95,95,88,ESTJ
78,33,67,95,ENTJ
91,95,95,28,ESTP
16,42,37,78,INFJ
80,65,54,72,ESFJ
60,30,63,10,ENTP
13,45,35,73,INFJ
97,6,95,83,ENTJ
86,32,46,51,ENFP
5,92,73,26,ISTP
11,39,81,7,INTP
80,2,95,84,ENTJ
56,19,100,92,ENTJ
37,70,100,62,ISTJ
46,45,60,24,INTP
40,68,62,40,ISTP
94,69,76,53,ESTP
24,45,85,61,INTJ
75,76,24,38,ESFP
94,70,57,8,ESTP
19,29,72,48,INTP
42,90,90,58,ISTJ
16,35,48,81,INFJ
50,46,93,81,INTJ
93,99,86,4,ESTP
17,89,82,15,ISTP
75,92,60,27,ESTP
51,79,61,69,ISTJ
34,65,86,53,ISTP
80,92,93,14,ESTP
97,24,78,100,ENTJ
26,12,14,55,INFJ
46,50,9,24,INFP
51,11,76,37,INTP
55,26,56,76,ENTJ
24,2,70,65,INTJ
7,24,79,25,INTP
79,16,20,13,ENFP
82,16,16,37,ENFP
5,35,2,23,INFP
97,45,66,91,ENTJ
24,12,36,34,INFP
30,29,77,37,INTP
86,84,45,72,ESFJ
49,67,8,94,ISFJ
39,28,41,31,INFP
23,12,40,83,INFJ
87,59,95,87,ESTJ
86,47,17,19,ENFP
38,25,60,20,INTP
14,42,36,33,INFP
17,48,91,92,INTJ
64,12,0,67,ENFJ
88,87,17,20,ESFP
73,98,61,75,ESTJ
24,0,44,39,INFP
35,66,11,79,ISFJ
87,50,24,67,ENFJ
8,29,70,75,INTJ
75,5,8,18,ENFP
28,75,10,68,ISFJ
8,100,95,61,ISTJ
29,63,17,45,ISFP
92,53,56,61,ENTJ
95,94,56,54,ESTP
7,3,52,23,INFP
73,6,3,26,ENFP
42,36,72,25,INTP
58,85,61,7,ESTP
94,68,97,47,ESTP
99,19,49,46,ENFP
